0.000000	77.519819	no
77.519819	78.541497	snore
78.541497	84.358095	no
84.358095	85.101134	snore
85.101134	87.179320	no
87.179320	88.363537	snore
88.363537	89.838005	no
89.838005	90.917732	snore
90.917732	92.903039	no
92.903039	95.538503	snore
95.538503	138.332880	no
138.332880	139.342948	snore
139.342948	167.520363	no
167.520363	168.193741	snore
168.193741	252.830476	no
252.830476	255.256961	snore
255.256961	257.091338	no
257.091338	258.345215	snore
258.345215	260.667211	no
260.667211	261.758549	snore
261.758549	263.105306	no
263.105306	264.858413	snore
264.858413	303.974626	no
