0.000000	14.303492	no
14.303492	15.464490	snore
15.464490	25.344580	no
25.344580	26.366259	snore
26.366259	28.374785	no
28.374785	29.408073	snore
29.408073	31.788118	no
31.788118	32.751746	snore
32.751746	34.946032	no
34.946032	36.083810	snore
36.083810	38.289705	no
38.289705	39.172063	snore
39.172063	67.094059	no
67.094059	68.208617	snore
68.208617	101.575692	no
101.575692	102.713469	snore
102.713469	105.035465	no
105.035465	105.836553	snore
105.836553	112.222041	no
112.222041	113.162449	snore
113.162449	115.972063	no
115.972063	116.935692	snore
116.935692	154.610068	no
154.610068	155.353107	snore
155.353107	189.799909	no
189.799909	190.821587	snore
190.821587	193.050703	no
193.050703	193.863401	snore
193.863401	196.464036	no
196.464036	197.369615	snore
197.369615	200.005079	no
200.005079	201.038367	snore
201.038367	207.377415	no
207.377415	208.248163	snore
208.248163	211.173878	no
211.173878	211.998186	snore
211.998186	228.495964	no
228.495964	229.773061	snore
229.773061	232.304036	no
232.304036	233.279274	snore
233.279274	235.845079	no
235.845079	236.948027	snore
236.948027	271.371610	no
271.371610	272.648707	snore
272.648707	323.256599	no
323.256599	324.162177	snore
324.162177	347.399569	no
