0.000000	32.670476	no
32.670476	33.587664	snore
33.587664	35.979320	no
35.979320	37.384127	snore
37.384127	39.706122	no
39.706122	40.681361	snore
40.681361	43.049796	no
43.049796	44.036644	snore
44.036644	49.446893	no
49.446893	50.584671	snore
50.584671	52.662857	no
52.662857	53.858685	snore
53.858685	59.535964	no
59.535964	60.522812	snore
60.522812	62.926077	no
62.926077	63.947755	snore
63.947755	66.246531	no
66.246531	67.279819	snore
67.279819	69.683084	no
69.683084	70.693152	snore
70.693152	72.771338	no
72.771338	73.711746	snore
73.711746	97.500590	no
97.500590	98.766077	snore
98.766077	104.269206	no
104.269206	105.453424	snore
105.453424	110.585034	no
110.585034	111.978231	snore
111.978231	114.033197	no
114.033197	115.124535	snore
115.124535	172.396553	no
172.396553	173.127982	snore
173.127982	175.798277	no
175.798277	176.541315	snore
176.541315	179.234830	no
179.234830	179.884989	snore
179.884989	194.699320	no
194.699320	195.442358	snore
195.442358	218.128254	no
218.128254	219.312472	snore
219.312472	221.622857	no
221.622857	222.725805	snore
222.725805	224.745941	no
224.745941	225.581859	snore
225.581859	244.099773	no
244.099773	245.075011	snore
245.075011	247.826576	no
247.826576	248.558005	snore
248.558005	258.147846	no
258.147846	259.134694	snore
259.134694	275.632472	no
275.632472	276.514830	snore
276.514830	285.617052	no
285.617052	286.731610	snore
286.731610	288.960726	no
288.960726	290.202993	snore
290.202993	292.304399	no
292.304399	293.349297	snore
293.349297	295.334603	no
295.334603	296.507211	snore
296.507211	298.527347	no
298.527347	299.781224	snore
299.781224	301.836190	no
301.836190	303.090068	snore
303.090068	304.763560	no
